time,logger,level,database,message,exception
2013-07-03 16:30:07.8411,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3159359488
  PollingInterval     = 00:02:00",
2013-07-03 16:30:07.9011,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2013-07-03 16:30:09.7948,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2013-07-03 16:30:09.8548,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-07-03 16:30:09.8618,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-07-03 16:30:09.8618,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2013-07-03 16:54:20.5646,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-07-03 16:54:20.5786,Raven.Database.Server.HttpServer,Debug,,Request #   1: GET     -   262 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-07-03 16:54:45.0043,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-07-03 16:54:45.0043,Raven.Database.Server.HttpServer,Debug,,Request #   2: GET     -     6 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-07-03 16:54:48.0157,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'PageContents/views-home-index-cshtml' was not found,
2013-07-03 16:54:48.0157,Raven.Database.Server.HttpServer,Debug,,Request #   3: GET     -     0 ms - <system>   - 404 - /docs/PageContents/views-home-index-cshtml,
2013-07-03 16:54:48.0377,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'PageContents/views-home-index-cshtml' was not found,
2013-07-03 16:54:48.0377,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -     0 ms - <system>   - 404 - /docs/PageContents/views-home-index-cshtml,
